00:32:26.036 [restartedMain] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@301e4252: startup date [Tue Jan 03 00:32:26 PST 2017]; root of context hierarchy
00:32:26.690 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
00:32:39.115 [restartedMain] INFO  c.hazelcast.config.XmlConfigLocator - Loading 'hazelcast.xml' from classpath.
00:32:40.820 [restartedMain] WARN  c.h.config.AbstractXmlConfigHelper - Name of the hazelcast schema location incorrect using default
00:32:43.479 [restartedMain] INFO  c.h.instance.DefaultAddressPicker - [LOCAL] [bootifulcluster] [3.6.7] Prefer IPv4 stack is true.
00:32:44.008 [restartedMain] INFO  c.h.instance.DefaultAddressPicker - [LOCAL] [bootifulcluster] [3.6.7] Picked Address[192.168.137.32]:5701, using socket ServerSocket[addr=/0:0:0:0:0:0:0:0,localport=5701], bind any local is true
00:32:44.159 [restartedMain] INFO  com.hazelcast.system - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Hazelcast 3.6.7 (20161208 - 3eec5a1) starting at Address[192.168.137.32]:5701
00:32:44.160 [restartedMain] INFO  com.hazelcast.system - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Copyright (c) 2008-2016, Hazelcast, Inc. All Rights Reserved.
00:32:44.160 [restartedMain] INFO  com.hazelcast.system - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Configured Hazelcast Serialization version : 1
00:32:47.934 [restartedMain] INFO  com.hazelcast.spi.OperationService - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Backpressure is disabled
00:32:48.034 [restartedMain] INFO  c.h.s.i.o.c.ClassicOperationExecutor - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Starting with 2 generic operation threads and 4 partition operation threads.
00:32:53.079 [restartedMain] INFO  com.hazelcast.instance.Node - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Creating MulticastJoiner
00:32:53.089 [restartedMain] INFO  com.hazelcast.core.LifecycleService - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Address[192.168.137.32]:5701 is STARTING
00:32:53.850 [restartedMain] INFO  c.h.n.t.n.NonBlockingIOThreadingModel - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] TcpIpConnectionManager configured with Non Blocking IO-threading model: 3 input threads and 3 output threads
00:32:56.380 [restartedMain] INFO  c.h.cluster.impl.MulticastJoiner - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] 


Members [1] {
	Member [192.168.137.32]:5701 this
}

00:32:56.525 [restartedMain] INFO  com.hazelcast.core.LifecycleService - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Address[192.168.137.32]:5701 is STARTED
00:33:00.575 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
00:33:00.762 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
00:33:01.753 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.0.11.Final}
00:33:01.758 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
00:33:01.762 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
00:33:02.066 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
00:33:03.015 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
